mod_type,fll_bw,costas_bw,sym_bw,preamble_size,noise_volt,freq_offset,time_offset,platform_mode,pdr,ber,matched_packets,total_packets,elapsed_sec
BPSK,0.005,0.005,0.005,32,0.0,0.0,1.0,software,90.0,0.0,9,10,0.04796147346496582
BPSK,0.005,0.005,0.01,32,0.0,0.0,1.0,software,90.0,0.0,9,10,0.04210186004638672
BPSK,0.005,0.005,0.018,32,0.0,0.0,1.0,software,90.0,0.0,9,10,0.04117107391357422
BPSK,0.005,0.005,0.025,32,0.0,0.0,1.0,software,90.0,0.0,9,10,0.03768157958984375
BPSK,0.005,0.005,0.035,32,0.0,0.0,1.0,software,90.0,0.0,9,10,0.0364527702331543
BPSK,0.005,0.005,0.045,32,0.0,0.0,1.0,software,90.0,0.0,9,10,0.04327249526977539
BPSK,0.005,0.005,0.07,32,0.0,0.0,1.0,software,90.0,0.0,9,10,0.04775285720825195
BPSK,0.005,0.005,0.115,32,0.0,0.0,1.0,software,40.0,0.3,4,10,0.038671016693115234
BPSK,0.005,0.005,0.18,32,0.0,0.0,1.0,software,30.0,0.35,3,10,0.04214143753051758
BPSK,0.005,0.005,0.25,32,0.0,0.0,1.0,software,80.0,0.1,8,10,0.04193711280822754
BPSK,0.005,0.005,0.35,32,0.0,0.0,1.0,software,0.0,0.5,0,10,0.03920865058898926
BPSK,0.005,0.005,0.5,32,0.0,0.0,1.0,software,0.0,0.5,0,10,0.03772115707397461
BPSK,0.005,0.005,0.7,32,0.0,0.0,1.0,software,0.0,0.5,0,10,0.028290271759033203
BPSK,0.005,0.005,1.0,32,0.0,0.0,1.0,software,0.0,0.5,0,10,0.03561997413635254
BPSK,0.005,0.01,0.005,32,0.0,0.0,1.0,software,90.0,0.0,9,10,0.03798031806945801
BPSK,0.005,0.01,0.01,32,0.0,0.0,1.0,software,90.0,0.0,9,10,0.03466320037841797
BPSK,0.005,0.01,0.018,32,0.0,0.0,1.0,software,90.0,0.0,9,10,0.03930020332336426
BPSK,0.005,0.01,0.025,32,0.0,0.0,1.0,software,90.0,0.0,9,10,0.039560556411743164
BPSK,0.005,0.01,0.035,32,0.0,0.0,1.0,software,90.0,0.0,9,10,0.03422045707702637
BPSK,0.005,0.01,0.045,32,0.0,0.0,1.0,software,90.0,0.0,9,10,0.033818721771240234
BPSK,0.005,0.01,0.07,32,0.0,0.0,1.0,software,90.0,0.0,9,10,0.0349884033203125
BPSK,0.005,0.01,0.115,32,0.0,0.0,1.0,software,40.0,0.3,4,10,0.0357511043548584
BPSK,0.005,0.01,0.18,32,0.0,0.0,1.0,software,30.0,0.35,3,10,0.044420480728149414
BPSK,0.005,0.01,0.25,32,0.0,0.0,1.0,software,80.0,0.1,8,10,0.03751564025878906
BPSK,0.005,0.01,0.35,32,0.0,0.0,1.0,software,0.0,0.5,0,10,0.03744935989379883
